horizon,model,feature,importance
5,Random Forest,vol_10,0.20867353968843905
5,Random Forest,sma_ratio_20,0.07994681388182702
5,Random Forest,sma_ratio_10,0.06758513401431657
5,Random Forest,vol_60,0.06584693253242058
5,Random Forest,sma_ratio_5,0.06519825463042966
5,Random Forest,sma_ratio_60,0.05380267555701774
5,Random Forest,vol_120,0.046799834989362535
5,Random Forest,vol_20,0.046483116200784755
5,Random Forest,sma_ratio_120,0.03114506699330977
5,Random Forest,macd_signal,0.026716226429696285
5,Random Forest,vol_3,0.023055412536669647
5,Random Forest,macd_hist,0.020611775704850233
5,Random Forest,ret_20,0.017026174930983174
5,Random Forest,mom_20,0.016889436058870493
5,Random Forest,ret_10,0.016679904647976206
5,Random Forest,mom_10,0.016372267207984365
5,Random Forest,vol_5,0.015160835959585894
5,Random Forest,mom_60,0.014782954827565463
5,Random Forest,ret_60,0.013997426962032591
5,Random Forest,ret_120,0.013833142964719854
5,XGBoost,vol_10,0.05603862553834915
5,XGBoost,sma_ratio_10,0.05234863609075546
5,XGBoost,sma_ratio_20,0.04594329744577408
5,XGBoost,mom_60,0.04518178105354309
5,XGBoost,sma_ratio_5,0.04282665252685547
5,XGBoost,vol_60,0.041812747716903687
5,XGBoost,ret_60,0.03548924997448921
5,XGBoost,sma_ratio_60,0.032427914440631866
5,XGBoost,mom_10,0.029421696439385414
5,XGBoost,sma_ratio_3,0.028460746631026268
5,XGBoost,rsi_14,0.028051307424902916
5,XGBoost,vol_20,0.02754426747560501
5,XGBoost,mom_5,0.026842348277568817
5,XGBoost,vol_120,0.02676502615213394
5,XGBoost,sma_ratio_120,0.0265361275523901
5,XGBoost,ret_5,0.026342637836933136
5,XGBoost,vol_3,0.02599503844976425
5,XGBoost,ret_20,0.025656748563051224
5,XGBoost,vol_5,0.025632623583078384
5,XGBoost,ret_120,0.02537970431149006
5,LightGBM,vol_60,417.0
5,LightGBM,vol_120,334.0
5,LightGBM,vol_20,301.0
5,LightGBM,sma_ratio_60,290.0
5,LightGBM,ret_120,289.0
5,LightGBM,ret_60,247.0
5,LightGBM,vol_10,235.0
5,LightGBM,macd_signal,225.0
5,LightGBM,macd_hist,213.0
5,LightGBM,ret_10,190.0
5,LightGBM,rsi_14,188.0
5,LightGBM,ret_20,171.0
5,LightGBM,macd,155.0
5,LightGBM,sma_ratio_120,152.0
5,LightGBM,sma_ratio_20,148.0
5,LightGBM,sma_ratio_5,140.0
5,LightGBM,vol_5,133.0
5,LightGBM,sma_ratio_10,126.0
5,LightGBM,vol_3,105.0
5,LightGBM,volume_z_60,93.0
5,CatBoost,vol_10,9.496225717229212
5,CatBoost,vol_60,9.153038720311564
5,CatBoost,vol_20,5.6977408762399735
5,CatBoost,sma_ratio_60,5.423849841819272
5,CatBoost,sma_ratio_20,4.1609511567017785
5,CatBoost,ret_60,3.964583716546793
5,CatBoost,mom_60,3.8977746771097332
5,CatBoost,sma_ratio_10,3.836535350974782
5,CatBoost,ret_10,3.7549579384469127
5,CatBoost,ret_120,3.7236125217069276
5,CatBoost,vol_120,3.530063744534822
5,CatBoost,mom_120,3.5024190975243994
5,CatBoost,mom_20,3.224559636838522
